2021-08-23 08:42:35.526 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 08:42:35.787 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 08:42:35.794 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 08:42:35.808 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 08:42:35.816 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 08:42:35.823 | INFO     | utils.loggings:info:29 - 构建Resource层代码完成
2021-08-23 08:42:35.830 | INFO     | utils.loggings:info:29 - 开始打包静态文件, 请稍等...
2021-08-23 08:42:35.898 | INFO     | utils.loggings:info:29 - 打包静态文件完成
2021-08-23 08:42:35.903 | INFO     | utils.loggings:info:29 - 生成完成
2021-08-23 09:54:44.491 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 09:54:44.507 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 09:54:44.518 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 09:54:44.530 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 09:54:44.540 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:01:52.157 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:01:52.176 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:01:52.189 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:01:52.200 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:01:52.211 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:05:50.250 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:05:50.266 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:05:50.276 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:05:50.286 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:05:50.296 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:07:12.141 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:07:12.157 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:07:12.169 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:07:12.180 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:07:12.190 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:08:31.643 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:08:31.658 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:08:31.671 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:08:31.683 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:08:31.694 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:09:11.514 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:09:11.530 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:09:11.543 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:09:11.556 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:09:11.568 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:25:29.476 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:25:29.492 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:25:29.504 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:25:29.515 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:25:29.526 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:26:03.510 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:26:03.525 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:26:03.535 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:26:03.547 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:26:03.559 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:28:21.309 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:28:21.327 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:28:21.338 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:28:21.349 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:28:21.361 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:28:44.584 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:28:44.600 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:28:44.612 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:28:44.623 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:28:44.635 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:29:05.401 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:29:05.418 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:29:05.430 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:29:05.440 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:29:05.450 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:32:52.529 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:32:52.545 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:32:52.555 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:32:52.565 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:32:52.575 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:34:05.038 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:34:05.053 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:34:05.063 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:34:05.073 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:34:05.083 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:34:18.407 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:34:18.422 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:34:18.433 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:34:18.444 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:34:18.454 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:34:24.853 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:34:24.858 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:34:24.862 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:34:24.866 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:34:24.870 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:35:20.181 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:35:20.198 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:35:20.209 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:35:20.219 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:35:20.230 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:35:33.377 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:35:33.381 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:35:33.385 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:35:33.389 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:35:33.394 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:35:34.612 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:35:34.636 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:35:34.646 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:35:34.656 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:35:34.669 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:36:52.231 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:36:52.246 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:36:52.256 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:36:52.265 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:36:52.276 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:37:07.443 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:37:07.460 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:37:07.472 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:37:07.483 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:37:07.499 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:39:55.281 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:39:55.296 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:39:55.306 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:39:55.317 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:39:55.328 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
2021-08-23 10:41:28.744 | INFO     | utils.loggings:info:29 - 开始构建Model层代码, 请稍等...
2021-08-23 10:41:28.759 | INFO     | utils.loggings:info:29 - 构建Model层代码完成
2021-08-23 10:41:28.770 | INFO     | utils.loggings:info:29 - 开始构建Controller层代码, 请稍等...
2021-08-23 10:41:28.781 | INFO     | utils.loggings:info:29 - 构建Controller层代码完成
2021-08-23 10:41:28.791 | INFO     | utils.loggings:info:29 - 开始构建Resource层代码, 请稍等...
